Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","014","Eastern Africa","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","391983.18","X","Figure from international organizations"
"FBS","Food Balances (2010-)","014","Eastern Africa","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","413809.84","X","Figure from international organizations"
