Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","053","Australia and New Zealand","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","29641","X","Figure from international organizations"
"FBS","Food Balances (2010-)","053","Australia and New Zealand","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","29986.26","X","Figure from international organizations"
