Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","015","Northern Africa","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","236727","X","Figure from international organizations"
"FBS","Food Balances (2010-)","015","Northern Africa","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","241198.31","X","Figure from international organizations"
