Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","143","Central Asia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","72051.83","X","Figure from international organizations"
"FBS","Food Balances (2010-)","143","Central Asia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","73212.1","X","Figure from international organizations"
