Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","155","Western Europe","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","196618","X","Figure from international organizations"
"FBS","Food Balances (2010-)","155","Western Europe","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","195445.43","X","Figure from international organizations"
