Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","018","Southern Africa","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","65739","X","Figure from international organizations"
"FBS","Food Balances (2010-)","018","Southern Africa","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","66629.89","X","Figure from international organizations"
