Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","039","Southern Europe","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","152492","X","Figure from international organizations"
"FBS","Food Balances (2010-)","039","Southern Europe","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","152301.42","X","Figure from international organizations"
