Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","057","Micronesia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","116","X","Figure from international organizations"
"FBS","Food Balances (2010-)","057","Micronesia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","242.18","X","Figure from international organizations"
